Model,Train Accuracy,Validation Accuracy,Test Accuracy
Naive Bayes,0.9129068854175757,0.8619281045751634,0.8582484725050916
Logistic Regression,0.9175320708613317,0.8717320261437909,0.8619144602851324
Linear SVM,0.9589842045553714,0.8676470588235294,0.8427698574338085
